,forms,javascript,logged_links,href_links,iframes,ip,www,protocol,nof_vowels,nof_consonants,nof_special_sym,nof_digits,nof_alpha,nof_alphanumeric,nof_ques,nof_dollar,nof_percent,nof_at,nof_dash,nof_dots,nof_dir,nof_www,nof_http,nof_eq,dash_in_path,terms_in_url,Labels
198,0,0,0,0,0,0,0,1,17,31,1,0,48,48,0,0,0,0,1,1,6,0,1,0,4,7,0
199,0,0,0,0,0,0,0,1,19,31,1,0,50,50,0,0,0,0,1,1,6,0,1,0,4,7,0
200,0,0,0,0,0,0,0,0,17,45,2,1,64,65,0,0,0,0,0,4,6,1,1,0,4,10,0
201,0,0,0,0,0,0,0,1,9,12,1,5,21,26,1,0,0,0,1,2,3,0,1,1,1,7,0
202,0,0,0,0,0,0,0,0,8,29,1,0,37,37,0,0,0,0,2,2,4,0,1,0,2,8,0
203,1,0,0,96,0,0,0,0,15,33,1,0,48,48,0,0,0,0,0,4,4,0,1,0,2,7,0
204,1,0,0,96,0,0,1,0,9,26,1,0,35,35,0,0,0,0,0,4,4,1,1,0,2,8,0
205,1,0,0,96,0,0,0,0,32,62,1,3,94,97,0,0,0,0,0,7,8,0,1,0,6,15,0
206,0,0,0,0,0,0,0,1,11,27,1,0,38,38,0,0,0,0,2,3,4,0,1,0,2,8,0
207,0,0,0,0,0,0,0,1,40,85,3,14,134,148,1,0,1,0,18,4,4,0,1,1,2,30,0
208,0,0,0,0,0,0,0,1,11,28,1,1,39,40,0,0,0,0,3,3,4,0,1,0,2,9,0
209,0,0,0,0,0,0,0,1,24,45,3,0,75,75,0,0,0,0,2,3,4,0,1,0,2,9,0
210,0,0,0,0,0,0,0,1,23,46,3,0,75,75,0,0,0,0,2,3,4,0,1,0,2,9,0
211,0,0,0,0,0,0,0,0,7,17,1,0,24,24,0,0,0,0,0,2,4,0,1,0,2,5,0
212,1,0,0,0,0,0,0,1,30,68,1,6,98,104,0,0,0,0,2,5,10,1,1,0,8,17,0
213,6,0,0,0,0,0,0,1,21,36,1,0,60,60,0,0,0,0,0,1,6,0,1,1,4,8,0
214,0,0,0,0,0,0,0,1,12,17,1,0,29,29,0,0,0,0,1,2,5,0,1,0,3,7,0
215,0,0,0,0,0,0,1,1,4,25,1,4,29,33,0,0,0,0,0,2,4,1,1,0,2,6,0
216,0,0,0,4,0,0,0,1,9,23,1,16,32,48,0,0,0,0,1,5,3,0,1,0,1,8,0
217,1,0,0,0,1,0,0,1,22,43,3,15,65,80,1,0,0,1,4,3,4,0,1,1,2,14,0
218,0,0,0,0,0,0,0,1,28,104,2,126,136,262,1,0,0,0,0,2,6,0,1,0,4,10,0
219,0,0,0,0,0,0,0,1,2,13,1,0,15,15,0,0,0,0,0,1,2,0,1,0,0,3,0
220,0,0,0,1,0,0,1,1,12,32,1,1,44,45,0,0,0,0,0,2,7,1,1,0,5,9,0
221,0,0,1,5,2,0,0,1,9,20,1,0,29,29,0,0,0,0,0,1,3,0,1,0,1,4,0
222,0,0,1,6,1,0,0,1,14,29,1,17,43,60,0,0,0,0,0,5,4,0,1,0,2,9,0
223,0,0,1,6,1,0,0,1,12,28,1,23,40,63,0,0,0,0,0,5,4,0,1,0,2,9,0
224,0,0,1,6,1,0,0,1,10,28,1,18,38,56,0,0,0,0,0,5,4,0,1,0,2,9,0
225,0,0,1,6,1,0,0,1,12,28,1,6,40,46,0,0,0,0,0,5,4,0,1,0,2,9,0
226,1,0,0,26,0,0,0,1,9,16,1,2,25,27,0,0,0,0,0,2,2,0,1,0,0,4,0
227,1,0,0,26,0,0,0,1,9,16,1,2,25,27,0,0,0,0,0,2,2,0,1,0,0,4,0
228,1,0,0,26,0,0,0,1,9,16,1,2,25,27,0,0,0,0,0,2,2,0,1,0,0,4,0
229,1,0,0,26,0,0,0,1,9,16,1,2,25,27,0,0,0,0,0,2,2,0,1,0,0,4,0
230,0,0,0,0,0,0,0,1,8,23,1,0,32,32,0,0,0,0,1,1,5,0,1,0,3,6,0
231,0,0,0,0,0,0,0,1,3,14,1,0,17,17,0,0,0,0,0,1,3,0,1,0,1,3,0
232,0,0,0,1,1,0,0,0,9,17,1,0,26,26,0,0,0,0,1,2,3,0,1,0,1,5,0
